REFERENCE_AREA,TIME_PERIOD,OBS_VALUE
Greece,2015,260535871984
Greece,2016,260688662507
Greece,2017,267798604157
Greece,2018,277566627229
Greece,2019,284356220809
Greece,2020,260644490662
Greece,2021,289216833180
Greece,2022,309528714177
Greece,2023,315341790060
Greece,2024,321709974340
Japan,2015,5246874810970
Japan,2016,5270099172079
Japan,2017,5369733919022
Japan,2018,5428811660921
Japan,2019,5418597373631
Japan,2020,5168206440034
Japan,2021,5303407654080
Japan,2022,5413444065273
Japan,2023,5468784151868
Japan,2024,5533081057797
Spain,2015,1561743452704
Spain,2016,1607673916133
Spain,2017,1669673191826
Spain,2018,1714340059415
Spain,2019,1745503928584
Spain,2020,1534354933790
Spain,2021,1662460027042
Spain,2022,1764587803982
Spain,2023,1795180669785
Spain,2024,1822961400605
Canada,2015,2094014373653
Canada,2016,2108423459959
Canada,2017,2182426977005
Canada,2018,2244752946539
Canada,2019,2278548574462
Canada,2020,2136858061793
Canada,2021,2257749120933
Canada,2022,2357070793049
Canada,2023,2374276212852
Canada,2024,2396633554966
Korea,2015,1996958188765
Korea,2016,2067461011734
Korea,2017,2163219940265
Korea,2018,2219699048467
Korea,2019,2243887525803
Korea,2020,2211842252685
Korea,2021,2337719905832
Korea,2022,2403995290210
Korea,2023,2446792494050
Korea,2024,2499508352145
Austria,2015,570044247918
Austria,2016,584097691188
Austria,2017,604435197352
Austria,2018,624218066224
Austria,2019,634937958682
Austria,2020,585209747494
Austria,2021,628966134545
Austria,2022,666351969296
Austria,2023,663706351534
Austria,2024,674027838181
Italy,2015,2324902683588
Italy,2016,2371208616841
Italy,2017,2436452172891
Italy,2018,2466356869065
Italy,2019,2472556242679
Italy,2020,2228862215066
Italy,2021,2444967319217
Italy,2022,2593674618180
Italy,2023,2612795502593
Italy,2024,2631449024561
Germany,2015,4672436329956
Germany,2016,4801789033481
Germany,2017,4981820578299
Germany,2018,5076805284019
Germany,2019,5165940563317
Germany,2020,4879789154364
Germany,2021,5108895536140
Germany,2022,5282454130294
Germany,2023,5251563036003
Germany,2024,5288730320146
Belgium,2015,815445113402
Belgium,2016,847398512508
Belgium,2017,874507890401
Belgium,2018,891002475884
Belgium,2019,909879579167
Belgium,2020,853492237365
Belgium,2021,934245008654
Belgium,2022,970669616371
Belgium,2023,979368641634
Belgium,2024,987973133235
United States,2015,21089960750000
United States,2016,21462966602215
United States,2017,22052073903377
United States,2018,22737077356341
United States,2019,23260516863517
United States,2020,22545056099813
United States,2021,24078280751259
United States,2022,24748478961092
United States,2023,25208034066675
United States,2024,25607968821254
Mexico,2015,1654136337595
Mexico,2016,1688659533385
Mexico,2017,1717062457509
Mexico,2018,1761920233280
Mexico,2019,1763106546254
Mexico,2020,1585831465250
Mexico,2021,1702122237192
Mexico,2022,1820084878379
Mexico,2023,1888655828163
Mexico,2024,1948808186761
France,2015,3201139067773
France,2016,3245999971792
France,2017,3344137315561
France,2018,3414119725860
France,2019,3483676007859
France,2020,3174675366035
France,2021,3397086414331
France,2022,3535895915869
France,2023,3562781023588
France,2024,3597796490276
United Kingdom,2015,3788061475461
United Kingdom,2016,3878481024522
United Kingdom,2017,3987150457622
United Kingdom,2018,4059700766045
United Kingdom,2019,4137079257686
United Kingdom,2020,3657921466485
United Kingdom,2021,3959140670223
United Kingdom,2022,4178638810646
United Kingdom,2023,4178442737454
United Kingdom,2024,4215132163183
Czechia,2015,328609975223
Czechia,2016,336985415128
Czechia,2017,356611271867
Czechia,2018,371840361555
Czechia,2019,380564810056
Czechia,2020,355699932293
Czechia,2021,381846779819
Czechia,2022,396940409019
Czechia,2023,396364082460
Czechia,2024,402969804662
